Year,Tournament,Singles Winner,Runner-up,Score,Doubles Winner,Runner-up,Score
2006,Miami,Roger Federer,Ivan Ljubičić,"7–6(7–5), 7–6(7–4), 7–6(8–6)"," Jonas Björkman
 Max Mirnyi"," Bob Bryan
 Mike Bryan","6–4, 6–4"
2006,Monte Carlo,Rafael Nadal,Roger Federer,"6–2, 6–7(2–7), 6–3, 7–6(7–5)"," Jonas Björkman
 Max Mirnyi"," Fabrice Santoro
 Nenad Zimonjić","6–2, 7–6(7–2)"
2006,Rome,Rafael Nadal,Roger Federer,"6–7(0–7), 7–6(7–5), 6–4, 2–6, 7–6(7–5)"," Mark Knowles
 Daniel Nestor"," Jonathan Erlich
 Andy Ram","6–4, 5–7, [13–11]"
2006,Hamburg,Tommy Robredo,Radek Štěpánek,"6–1, 6–3, 6–3"," Paul Hanley
 Kevin Ullyett"," Mark Knowles
 Daniel Nestor","6–2, 7–6(10–8)"
2006,Toronto,Roger Federer,Richard Gasquet,"2–6, 6–3, 6–2"," Bob Bryan
 Mike Bryan"," Paul Hanley
 Kevin Ullyett","6–3, 7–5"
2006,Cincinnati,Andy Roddick,Juan Carlos Ferrero,"6–3, 6–4"," Jonas Björkman
 Max Mirnyi"," Bob Bryan
 Mike Bryan","7–6, 6–4"
2006,Madrid,Roger Federer,Fernando González,"7–5, 6–1, 6–0"," Bob Bryan
 Mike Bryan"," Mark Knowles
 Daniel Nestor","7–5, 6–4"
2006,Paris,Nikolay Davydenko,Dominik Hrbatý,"6–1, 6–2, 6–2"," Arnaud Clément
 Michaël Llodra"," Fabrice Santoro
 Nenad Zimonjić","7–6(7–4), 6–2"
2007,Indian Wells,Rafael Nadal,Novak Djokovic,"6–2, 7–5"," Martin Damm
 Leander Paes"," Jonathan Erlich
 Andy Ram","6–4, 6–4"
2007,Miami,Novak Djokovic,Guillermo Cañas,"6–3, 6–2, 6–4"," Bob Bryan
 Mike Bryan"," Martin Damm
 Leander Paes","7–6(9–7), 3–6, 10–7"
2007,Monte Carlo,Rafael Nadal,Roger Federer,"6–4, 6–4"," Bob Bryan
 Mike Bryan"," Julien Benneteau
 Richard Gasquet","6–2, 6–1"
2007,Rome,Rafael Nadal,Fernando González,"6–2, 6–2"," Fabrice Santoro
 Nenad Zimonjić"," Bob Bryan
 Mike Bryan","6–4, 6–7(4–7), 10–7"
2007,Hamburg,Roger Federer,Rafael Nadal,"2–6, 6–2, 6–0"," Bob Bryan
 Mike Bryan"," Paul Hanley
 Kevin Ullyett","6–3, 6–4"
2007,Montreal,Novak Djokovic,Roger Federer,"7–6(7–2), 2–6, 7–6(7–2)"," Mahesh Bhupathi
 Pavel Vízner"," Paul Hanley
 Kevin Ullyett","6–4, 6–4"
2007,Cincinnati,Roger Federer,James Blake,"6–1, 6–4"," Jonathan Erlich
 Andy Ram"," Bob Bryan
 Mike Bryan","6–4, 3–6, 13–11"
2007,Madrid,David Nalbandian,Roger Federer,"1–6, 6–3, 6–3"," Bob Bryan
 Mike Bryan"," Mariusz Fyrstenberg
 Marcin Matkowski","6–3, 7–6(7–4)"
2007,Paris,David Nalbandian,Rafael Nadal,"6–4, 6–0"," Bob Bryan
 Mike Bryan"," Daniel Nestor
 Nenad Zimonjić","6–3, 7–6(7–4)"
2008,Indian Wells,Novak Djokovic,Mardy Fish,"6–2, 5–7, 6–3"," Jonathan Erlich
 Andy Ram"," Daniel Nestor
 Nenad Zimonjić","6–4, 6–4"
2008,Miami,Nikolay Davydenko,Rafael Nadal,"6–4, 6–2"," Bob Bryan
 Mike Bryan"," Mahesh Bhupathi
 Mark Knowles","6–2, 6–2"
2008,Monte Carlo,Rafael Nadal,Roger Federer,"7–5, 7–5"," Rafael Nadal
 Tommy Robredo"," Mahesh Bhupathi
 Mark Knowles","6–3, 6–3"
2008,Rome,Novak Djokovic,Stanislas Wawrinka,"4–6, 6–3, 6–3"," Bob Bryan
 Mike Bryan"," Daniel Nestor
 Nenad Zimonjić","3–6, 6–4, 10–8"
2008,Hamburg,Rafael Nadal,Roger Federer,"7–5, 6–7(3–7), 6–3"," Daniel Nestor
 Nenad Zimonjić"," Bob Bryan
 Mike Bryan","4–6, 7–5, 10–8"
2008,Toronto,Rafael Nadal,Nicolas Kiefer,"6–3, 6–2"," Daniel Nestor
 Nenad Zimonjić"," Bob Bryan
 Mike Bryan","6–2, 4–6, 10–8"
2008,Cincinnati,Andy Murray,Novak Djokovic,"7–6(7–4), 7–6(7–5)"," Bob Bryan
 Mike Bryan"," Jonathan Erlich
 Andy Ram","4–6, 7–6(7–2), 10–7"
2008,Madrid,Andy Murray,Gilles Simon,"6–4, 7–6(8–6)"," Mariusz Fyrstenberg
 Marcin Matkowski"," Mahesh Bhupathi
 Mark Knowles","6–4, 6–2"
2008,Paris,Jo-Wilfried Tsonga,David Nalbandian,"6–3, 4–6, 6–4"," Jonas Björkman
 Kevin Ullyett"," Jeff Coetzee
 Wesley Moodie","6–2, 6–2"
2009,Indian Wells,Rafael Nadal,Andy Murray,"6–1, 6–2"," Mardy Fish
 Andy Roddick"," Max Mirnyi
 Andy Ram","3–6, 6–1, [14–12]"
2009,Miami,Andy Murray,Novak Djokovic,"6–2, 7–5"," Max Mirnyi
 Andy Ram"," Ashley Fisher
 Stephen Huss","6–7(4–7), 6–2, [10–7]"
2009,Monte Carlo,Rafael Nadal,Novak Djokovic,"6–3, 2–6, 6–1"," Daniel Nestor
 Nenad Zimonjić"," Bob Bryan
 Mike Bryan","6–4, 6–1"
2009,Rome,Rafael Nadal,Novak Djokovic,"7–6(7–2), 6–2"," Daniel Nestor
 Nenad Zimonjić"," Bob Bryan
 Mike Bryan","7–6(7–5), 6–3"
2009,Madrid,Roger Federer,Rafael Nadal,"6–4, 6–4"," Daniel Nestor
 Nenad Zimonjić"," Simon Aspelin
 Wesley Moodie","6–4, 6–4"
2009,Montreal,Andy Murray,Juan Martín del Potro,"6–7(4–7), 7–6(7–3), 6–1"," Mahesh Bhupathi
 Mark Knowles"," Max Mirnyi
 Andy Ram","6–4, 6–3"
2009,Cincinnati,Roger Federer,Novak Djokovic,"6–1, 7–5"," Daniel Nestor
 Nenad Zimonjić"," Bob Bryan
 Mike Bryan","3–6, 7–6(7–2), [15–13]"
2009,Shanghai,Nikolay Davydenko,Rafael Nadal,"7–6(7–3), 6–3"," Jo-Wilfried Tsonga
 Julien Benneteau"," Mariusz Fyrstenberg
 Marcin Matkowski","6–2, 6–4"
2009,Paris,Novak Djokovic,Gaël Monfils,"6–2, 5–7, 7–6(7–3)"," Daniel Nestor
 Nenad Zimonjić"," Marcel Granollers
 Tommy Robredo","6–3, 6–4"
2010,Indian Wells,Ivan Ljubičić,Andy Roddick,"7–6(7–3), 7–6(7–5)"," Marc López
 Rafael Nadal"," Daniel Nestor
 Nenad Zimonjić","7–6(10–8), 6–3"
2010,Miami,Andy Roddick,Tomáš Berdych,"7–5, 6–4"," Lukáš Dlouhý
 Leander Paes"," Mahesh Bhupathi
 Max Mirnyi","6–2, 7–5"
2010,Monte Carlo,Rafael Nadal,Fernando Verdasco,"6–0, 6–1"," Daniel Nestor
 Nenad Zimonjić"," Mahesh Bhupathi
 Max Mirnyi","6–3, 2–0 ret."
2010,Rome,Rafael Nadal,David Ferrer,"7–5, 6–2"," Bob Bryan
 Mike Bryan"," John Isner
 Sam Querrey","6–2, 6–3"
2010,Madrid,Rafael Nadal,Roger Federer,"6–4, 7–6(7–5)"," Bob Bryan
 Mike Bryan"," Daniel Nestor
 Nenad Zimonjić","6–3, 6–4"
2010,Toronto,Andy Murray,Roger Federer,"7–5, 7–5"," Bob Bryan
 Mike Bryan"," Julien Benneteau
 Michaël Llodra","7–5, 6–3"
2010,Cincinnati,Roger Federer,Mardy Fish,"6–7(5–7), 7–6(7–1), 6–4"," Bob Bryan
 Mike Bryan"," Mahesh Bhupathi
 Max Mirnyi","6–3, 6–4."
2010,Shanghai,Andy Murray,Roger Federer,"6–3, 6–2"," Jürgen Melzer
 Leander Paes"," Mariusz Fyrstenberg
 Marcin Matkowski","7–5, 4–6, [10–5]"
2010,Paris,Robin Söderling,Gaël Monfils,"6–1, 7–6(7–1)"," Mahesh Bhupathi
 Max Mirnyi"," Mark Knowles
 Andy Ram","7–5, 7–5"
2011,Indian Wells,Novak Djokovic,Rafael Nadal,"4–6, 6–3, 6–2"," Alexandr Dolgopolov
 Xavier Malisse"," Roger Federer
 Stanislas Wawrinka","6–4, 6–7(5–7), [10–7]"
2011,Miami,Novak Djokovic,Rafael Nadal,"4–6, 6–3, 7–6(7–4)"," Mahesh Bhupathi
 Leander Paes"," Max Mirnyi
 Daniel Nestor","6–7(5–7), 6–2, [10–5]"
2011,Monte Carlo,Rafael Nadal,David Ferrer,"6–4, 7–5"," Bob Bryan
 Mike Bryan"," Juan Ignacio Chela
 Bruno Soares","6–3, 6–2"
2011,Madrid,Novak Djokovic,Rafael Nadal,"7–5, 6–4"," Bob Bryan
 Mike Bryan"," Michaël Llodra
 Nenad Zimonjić","6–3, 6–3"
2011,Rome,Novak Djokovic,Rafael Nadal,"6–4, 6–4"," John Isner
 Sam Querrey"," Mardy Fish
 Andy Roddick",w/o
2011,Montreal,Novak Djokovic,Mardy Fish,"6–2, 3–6, 6–4"," Michael Llodra
 Nenad Zimonjic"," Bob Bryan
 Mike Bryan","6–4, 6–7(5–7), [10–5]"
2011,Cincinnati,Andy Murray,Novak Djokovic,"6–4, 3–0 ret."," Mahesh Bhupathi
 Leander Paes"," Michael Llodra
 Nenad Zimonjic","7–6(7–4), 7–6(7–2)"
2011,Shanghai,Andy Murray,David Ferrer,"7–5, 6–4"," Max Mirnyi
 Daniel Nestor"," Michael Llodra
 Nenad Zimonjic","3–6, 6–1, [12–10]"
2011,Paris,Roger Federer,Jo-Wilfried Tsonga,"6–1, 7–6(7–3)"," Rohan Bopanna
 Aisam-ul-Haq Qureshi"," Julien Benneteau
 Nicolas Mahut","6–2, 6–4"
2012,Indian Wells,Roger Federer,John Isner,"7–6(9–7), 6–3"," Marc Lopez
 Rafael Nadal"," John Isner
 Sam Querrey","6–2, 7–6(7–3)"
2012,Miami,Novak Djokovic,Andy Murray,"6–1, 7–6(7–4)"," Leander Paes
 Radek Štěpánek"," Max Mirnyi
 Daniel Nestor","3–6, 6–1, [10–8]"
2012,Monte Carlo,Rafael Nadal,Novak Djokovic,"6–3, 6–1"," Bob Bryan
 Mike Bryan"," Max Mirnyi
 Daniel Nestor","6–2, 6–3"
2012,Madrid,Roger Federer,Tomáš Berdych,"3–6, 7–5, 7–5"," Mariusz Fyrstenberg
 Marcin Matkowski"," Robert Lindstedt
 Horia Tecău","6–3, 6–4"
2012,Rome,Rafael Nadal,Novak Djokovic,"7–5, 6–3"," Marcel Granollers
 Marc Lopez"," Lukasz Kubot
 Janko Tipsarevic","6-3, 6-2"
2012,Toronto,Novak Djokovic,Richard Gasquet,"6–3, 6–2"," Bob Bryan
 Mike Bryan"," Marcel Granollers
 Marc Lopez","6–1, 4–6, [12–10]"
2012,Cincinnati,Roger Federer,Novak Djokovic,"6–0, 7–6(9–7)"," Robert Lindstedt
 Horia Tecau"," Mahesh Bhupathi
 Rohan Bopanna","6–4, 6–4"
2012,Shanghai,Novak Djokovic,Andy Murray,"5-7, 7-6(13-11), 6-3"," Leander Paes
 Radek Stepanek"," Mahesh Bhupathi
 Rohan Bopanna","6-7(7-9), 6-3, [10-5]"
2012,Paris,David Ferrer,Jerzy Janowicz,"6-4, 6-3"," Mahesh Bhupathi
 Rohan Bopanna"," Aisam-Ul-Haq Qureshi
 Jean-Julien Rojer","7-6(8-6), 6-3"
