year,Tournament,Singles Winner,Runner-up,Score,Doubles Winner,Runner-up,Score
1987,Miami,Miloslav Mečíř,Ivan Lendl,"7–5, 6–2, 7–5"," Paul Annacone
 Christo van Rensburg"," Ken Flach
 Robert Seguso","6–2, 6–4, 6–4"
1987,Tokyo,Stefan Edberg,Ivan Lendl,"6–7, 6–4, 6–4"," Broderick Dyke
 Tom Nijssen"," Sammy Giammalva
 Jim Grabb","6–3, 6–2"
1987,Monte Carlo,Mats Wilander,Jimmy Arias,"4–6, 7–5, 6–1, 6–3"," Hans Gildemeister
 Andrés Gómez"," Mansour Bahrami
 Michael Mortensen","6–2, 6–4"
1987,Rome,Mats Wilander,Martín Jaite,"6–3, 6–4, 6–4"," Guy Forget
 Yannick Noah"," Miloslav Mečíř
 Tomáš Šmíd","6–2, 6–7, 6–3"
1987,Montreal,Ivan Lendl,Stefan Edberg,"6–4, 7–6"," Pat Cash
 Stefan Edberg"," Peter Doohan
 Laurie Warder","6–7, 6–3, 6–4"
1987,Cincinnati,Stefan Edberg,Boris Becker,"6–4, 6–1"," Ken Flach
 Robert Seguso"," John Fitzgerald
 Steve Denton","7–5, 6–3"
1987,Hamburg,Ivan Lendl,Miloslav Mečíř,"6–1, 6–3, 6–3"," Miloslav Mečíř
 Tomáš Šmíd"," Claudio Mezzadri
 Jim Pugh","6–1, 6–2"
1987,Indian Wells,Boris Becker,Stefan Edberg,"6–4, 6–4, 7–5"," Guy Forget
 Yannick Noah"," Boris Becker
 Eric Jelen","5–7, 7–6, 7–5"
1987,Stockholm,Stefan Edberg,Jonas Svensson,"7–5, 6–2, 4–6, 6–4"," Stefan Edberg
 Anders Järryd"," Jim Grabb
 Jim Pugh","6–2, 3–6, 6–1"
1988,Miami,Mats Wilander,Jimmy Connors,"6–4, 4–6, 6–4, 6–4"," John Fitzgerald
 Anders Järryd"," Ken Flach
 Robert Seguso","7–6, 6–1, 7–5"
1988,Tokyo,Boris Becker,John Fitzgerald,"7–6, 6–4"," Andrés Gómez
 Slobodan Živojinović"," Boris Becker
 Eric Jelen","7–5, 5–7, 6–3"
1988,Monte Carlo,Ivan Lendl,Martín Jaite,"5–7, 6–4, 7–5, 6–3"," Sergio Casal
 Emilio Sánchez"," Henri Leconte
 Ivan Lendl","6–7, 6–4, 7–6"
1988,Rome,Ivan Lendl,Guillermo Pérez-Roldán,"2–6, 6–4, 6–2, 4–6, 6–4"," Jorge Lozano
 Todd Witsken"," Anders Järryd
 Tomáš Šmíd","6–3, 6–3"
1988,Toronto,Ivan Lendl,Kevin Curren,"7–6, 6–2"," Ken Flach
 Robert Seguso"," Andrew Castle
 Tim Wilkison","7–6 (7–3), 6–3"
1988,Cincinnati,Mats Wilander,Stefan Edberg,"3–6, 7–6, 7–6"," Rick Leach
 Jim Pugh"," Jim Grabb
 Patrick McEnroe","6–2, 6–4"
1988,Hamburg,Kent Carlsson,Henri Leconte,"6–2, 6–1, 6–4"," Darren Cahill
 Laurie Warder"," Rick Leach
 Jim Pugh","6–0, 5–7, 6–4"
1988,Indian Wells,Boris Becker,Emilio Sánchez,"7–5, 6–4, 2–6, 6–4"," Boris Becker
 Guy Forget"," Jorge Lozano
 Todd Witsken","6–3, 6–3"
1988,Stockholm,Boris Becker,Peter Lundgren,"6–4, 6–1, 6–1"," Kevin Curren
 Jim Grabb"," Paul Annacone
 John Fitzgerald","7–5, 7–5"
1989,Miami,Ivan Lendl,Thomas Muster,w/o," Jakob Hlasek
 Anders Järryd"," Jim Grabb
 Patrick McEnroe","6–3, r"
1989,Montreal,Ivan Lendl,John McEnroe,"6–1, 6–3"," Kelly Evernden
 Todd Witsken"," Charles Beckman
 Shelby Cannon","6–3, 6–3"
1989,Monte Carlo,Alberto Mancini,Boris Becker,"7–5, 2–6, 7–5, 7–6"," Tomáš Šmíd
 Mark Woodforde"," Paolo Canè
 Diego Nargiso","1–6, 6–4, 6–2"
1989,Rome,Alberto Mancini,Andre Agassi,"6–3, 4–6, 2–6, 7–6, 6–1"," Jim Courier
 Pete Sampras"," Danilo Marcelino
 Mauro Menezes","6–4, 6–3"
1989,Stockholm,Ivan Lendl,Magnus Gustafsson,"7–5, 6–0, 6–3"," Jorge Lozano
 Todd Witsken"," Rick Leach
 Jim Pugh","6–3, 5–7, 6–3"
1989,Cincinnati,Brad Gilbert,Stefan Edberg,"6–4, 2–6, 7–6"," Ken Flach
 Robert Seguso"," Pieter Aldrich
 Danie Visser","6–4, 6–4"
1989,Hamburg,Ivan Lendl,Horst Skoff,"6–4, 6–1, 6–3"," Emilio Sánchez
 Javier Sánchez"," Boris Becker
 Eric Jelen","6–4, 6–7, 7–6"
1989,Indian Wells,Miloslav Mečíř,Yannick Noah,"3–6, 2–6, 6–1, 6–2, 6–3"," Boris Becker
 Jakob Hlasek"," Kevin Curren
 David Pate","3–6, 6–3, 6–4"
1989,Paris,Boris Becker,Stefan Edberg,"6–4, 6–3, 6–3"," John Fitzgerald
 Anders Järryd"," Jakob Hlasek
 Eric Winogradsky","7–6, 6–4"
